Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
ANDE,"The Andersons, Inc.",79.28,1482536000,n/a,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/ande
TBBK,"The Bancorp, Inc.",17.03,642316065.2,n/a,2004,Finance,Major Banks,http://www.nasdaq.com/symbol/tbbk
BKYF,The Bank of Kentucky Financial Corp.,31.32,235834056.4,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/bkyf
BONT,"The Bon-Ton Stores, Inc.",12.26,251182904.5,n/a,1991,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/bont
CG,The Carlyle Group L.P.,32.16,10039048716,n/a,2002,Finance,Investment Managers,http://www.nasdaq.com/symbol/cg
CAKE,The Cheesecake Factory Incorporated,48.05,2513058293,n/a,1992,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/cake
CHEF,"The Chefs&#39; Warehouse, Inc.",24.23,606139812.2,n/a,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/chef
PLCE,"The Children&#39;s Place Retail Stores, Inc.",52.96,1181557566,n/a,1997,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/plce
TCFC,The Community Financial Corporation,19.6,91087550.4,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/tcfc
DSGX,The Descartes Systems Group Inc.,14.11,885074301.4,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/dsgx
DXYN,"The Dixie Group, Inc.",12.06,160424905.9,n/a,n/a,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/dxyn
ENSG,"The Ensign Group, Inc.",42.47,934534937.3,n/a,2007,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/ensg
XONE,The ExOne Company,52.67,757795313.4,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/xone
FINL,"The Finish Line, Inc.",25.91,1272763923,n/a,1992,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/finl
FBMS,"The First Bancshares, Inc.",14.85,75840895.35,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fbms
FLIC,The First of Long Island Corporation,39.96,364743811.1,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/flic
TFM,"The Fresh Market, Inc.",48.96,2366983244,n/a,2010,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/tfm
